sample,raw,filtered
0,2279.0,0.0
1,2283.0,0.0
2,2281.0,0.0
3,2278.0,0.0
4,2285.0,0.0
5,2285.0,0.0
6,2283.0,-8.0
7,2290.0,-30.0
8,2289.0,-58.0
9,2283.0,-58.0
10,2283.0,20.0
11,2286.0,222.0
12,2284.0,568.0
13,2287.0,125.0
14,2282.0,18.0
15,2287.0,-81.0
16,2284.0,-176.0
17,2287.0,-266.0
18,2072.0,-349.0
19,2290.0,-426.0
20,2284.0,-499.0
21,2283.0,-568.0
22,2288.0,-632.0
23,983.0,-690.0
24,840.0,-743.0
25,2286.0,-792.0
26,2292.0,-838.0
27,2282.0,-883.0
28,957.0,-927.0
29,112.0,-967.0
30,2279.0,-999.0
31,2283.0,-1029.0
32,2271.0,-1074.0
33,-33.0,-1156.0
34,2282.0,-1551.0
35,2288.0,-1670.0
36,942.0,-1769.0
37,2285.0,-1837.0
38,2288.0,-1854.0
39,2286.0,-1825.0
40,2285.0,-1781.0
41,2284.0,-77.0
42,2288.0,-9.0
43,-20.0,-11.0
44,2283.0,-51.0
45,2291.0,-98.0
46,2285.0,-141.0
47,-25.0,-170.0
48,-22.0,-186.0
49,501.0,-192.0
50,2284.0,-193.0
51,978.0,-199.0
52,-21.0,-230.0
53,-25.0,-298.0
54,758.0,-398.0
55,2283.0,-519.0
56,2288.0,-658.0
57,1455.0,-822.0
58,776.0,-1011.0
59,2283.0,-1206.0
60,2292.0,-1384.0
61,2283.0,-1541.0
62,2288.0,-1674.0
63,2281.0,-1768.0
64,2288.0,-1782.0
65,2289.0,-791.0
66,2289.0,-386.0
67,2288.0,21.0
68,2288.0,397.0
69,2288.0,712.0
70,2289.0,951.0
71,2282.0,1116.0
72,2285.0,1215.0
73,2292.0,1259.0
74,2290.0,1261.0
75,2288.0,1226.0
76,2285.0,1158.0
77,2287.0,1066.0
78,2289.0,830.0
79,2290.0,782.0
80,2288.0,738.0
81,2278.0,698.0
82,2281.0,669.0
83,2290.0,650.0
84,1207.0,630.0
85,-25.0,603.0
86,-26.0,-472.0
87,-22.0,-962.0
88,-24.0,-1469.0
89,-16.0,-1916.0
90,-27.0,-2224.0
91,-23.0,-2340.0
92,-22.0,-2265.0
93,-23.0,-2043.0
94,-20.0,-1741.0
95,-23.0,-1415.0
96,-22.0,-1103.0
97,-24.0,-830.0
98,-23.0,-606.0
99,-21.0,-429.0
100,-20.0,-68.0
101,-26.0,19.0
102,-24.0,95.0
103,-16.0,162.0
104,-22.0,226.0
105,-25.0,289.0
106,-25.0,348.0
107,-27.0,400.0
108,-27.0,448.0
109,-28.0,496.0
110,-21.0,544.0
111,-22.0,587.0
112,-27.0,625.0
113,-20.0,659.0
114,-21.0,693.0
115,-22.0,726.0
116,-33.0,755.0
117,-20.0,778.0
118,-24.0,798.0
119,-22.0,817.0
120,-24.0,889.0
121,-26.0,882.0
122,-25.0,843.0
123,-21.0,829.0
124,-21.0,817.0
125,-25.0,804.0
126,-17.0,789.0
127,-20.0,772.0
128,-23.0,757.0
129,-24.0,743.0
130,-21.0,727.0
131,-30.0,709.0
132,-20.0,689.0
133,-25.0,670.0
134,-20.0,652.0
135,-26.0,633.0
136,-24.0,613.0
137,-21.0,592.0
138,-21.0,573.0
139,-22.0,554.0
140,-24.0,535.0
141,-23.0,514.0
142,-21.0,492.0
143,-20.0,471.0
144,-20.0,451.0
145,-23.0,431.0
146,-23.0,410.0
147,-23.0,388.0
148,-25.0,368.0
149,-12.0,350.0
150,-26.0,331.0
151,-25.0,312.0
152,-22.0,291.0
153,-16.0,90.0
154,-24.0,75.0
155,-20.0,59.0
156,-28.0,42.0
157,-22.0,26.0
158,-25.0,11.0
159,-21.0,-3.0
160,-21.0,-140.0
161,-23.0,-151.0
162,-23.0,-162.0
163,-22.0,-172.0
164,-16.0,-181.0
165,-27.0,-189.0
166,-17.0,-198.0
167,-25.0,-207.0
168,-19.0,-215.0
169,-25.0,-222.0
170,-23.0,-229.0
171,-24.0,-236.0
172,-19.0,-243.0
173,-24.0,-249.0
174,-23.0,-254.0
175,-21.0,-267.0
176,-29.0,-271.0
177,-22.0,-275.0
178,-20.0,-279.0
179,-27.0,-283.0
180,-22.0,-287.0
181,-20.0,-291.0
182,-24.0,-294.0
183,-19.0,-296.0
184,-16.0,-298.0
185,-25.0,-299.0
186,-20.0,-300.0
187,-20.0,-301.0
188,-23.0,-302.0
189,-20.0,-303.0
190,-23.0,-305.0
191,-21.0,-306.0
192,-21.0,-306.0
193,-18.0,-306.0
194,-24.0,-306.0
195,-25.0,-305.0
196,-22.0,-303.0
197,-25.0,-301.0
198,-29.0,-299.0
199,-20.0,-298.0
200,-22.0,-297.0
201,-18.0,-295.0
202,-20.0,-294.0
203,-25.0,-292.0
204,-22.0,-290.0
205,-23.0,-288.0
206,-21.0,-286.0
207,-23.0,-284.0
208,-22.0,-281.0
209,-22.0,-279.0
210,-26.0,-277.0
211,-21.0,-270.0
212,-31.0,-266.0
213,-24.0,-262.0
214,-20.0,-257.0
215,-26.0,-253.0
216,-19.0,-249.0
217,-21.0,-245.0
218,-20.0,-242.0
219,-20.0,-238.0
220,-20.0,-235.0
221,-25.0,-231.0
222,-27.0,-227.0
223,-18.0,-206.0
224,-23.0,-201.0
225,-16.0,-196.0
226,-23.0,-190.0
227,-21.0,-185.0
228,-25.0,-180.0
229,-21.0,-176.0
230,-25.0,-172.0
231,-24.0,-169.0
232,-22.0,-165.0
233,-25.0,-160.0
234,-21.0,-155.0
235,-25.0,-150.0
236,-19.0,-145.0
237,-24.0,-139.0
238,-22.0,-135.0
239,-24.0,-131.0
240,-24.0,-128.0
241,-20.0,-125.0
242,-18.0,-122.0
243,-20.0,-118.0
244,-22.0,-115.0
245,-25.0,-2.0
246,-24.0,0.0
247,-16.0,2.0
248,-20.0,4.0
249,-21.0,6.0
250,-27.0,8.0
251,-26.0,10.0
252,-23.0,11.0
253,-19.0,13.0
254,-22.0,15.0
255,-28.0,17.0
256,-23.0,20.0
257,-17.0,22.0
258,-21.0,24.0
259,-25.0,26.0
260,-24.0,28.0
261,-29.0,29.0
262,-19.0,31.0
263,-24.0,32.0
264,-21.0,32.0
265,-23.0,33.0
266,-27.0,34.0
267,-27.0,36.0
268,-20.0,37.0
269,-25.0,39.0
270,-20.0,41.0
271,-23.0,42.0
272,-23.0,43.0
273,-25.0,44.0
274,-22.0,45.0
275,-19.0,45.0
276,-25.0,46.0
277,-21.0,47.0
278,-25.0,47.0
279,-27.0,48.0
280,-22.0,49.0
281,-22.0,50.0
282,-25.0,51.0
283,-17.0,54.0
284,-22.0,54.0
285,-23.0,55.0
286,-16.0,55.0
287,-25.0,55.0
288,-16.0,55.0
289,-22.0,55.0
290,-24.0,55.0
291,-21.0,54.0
292,-25.0,55.0
293,-24.0,55.0
294,-21.0,56.0
295,-24.0,57.0
296,-25.0,58.0
297,-15.0,59.0
298,-28.0,59.0
299,-29.0,59.0
300,-21.0,59.0
301,-20.0,58.0
302,-25.0,50.0
303,-26.0,51.0
304,-25.0,51.0
305,-24.0,51.0
306,-25.0,50.0
307,-21.0,50.0
308,-17.0,49.0
309,-25.0,48.0
310,-21.0,48.0
311,-23.0,48.0
312,-20.0,48.0
313,-22.0,47.0
314,-27.0,46.0
315,-20.0,45.0
316,-22.0,43.0
317,-19.0,41.0
318,-18.0,39.0
319,-25.0,39.0
320,-21.0,38.0
321,-23.0,39.0
322,-14.0,39.0
323,-20.0,39.0
324,-21.0,39.0
325,-29.0,39.0
326,-25.0,38.0
327,-23.0,37.0
328,-22.0,36.0
329,-16.0,35.0
330,-20.0,35.0
331,-23.0,35.0
332,-27.0,34.0
333,-31.0,34.0
334,-25.0,33.0
335,-19.0,32.0
336,-23.0,30.0
337,-22.0,28.0
338,-25.0,27.0
339,-16.0,25.0
340,-25.0,25.0
341,-21.0,24.0
342,-20.0,24.0
343,-23.0,24.0
344,-24.0,24.0
345,-21.0,23.0
346,-21.0,22.0
347,-25.0,21.0
348,-20.0,20.0
349,-22.0,20.0
350,-25.0,16.0
351,-22.0,15.0
352,-29.0,15.0
353,-19.0,15.0
354,-25.0,15.0
355,-25.0,15.0
356,-23.0,15.0
357,-25.0,14.0
358,-20.0,12.0
359,-23.0,11.0
360,-25.0,9.0
361,-23.0,7.0
362,-21.0,6.0
363,-23.0,6.0
364,-23.0,6.0
365,-25.0,6.0
366,-20.0,6.0
367,-20.0,6.0
368,-29.0,5.0
369,-27.0,5.0
370,-24.0,5.0
371,-19.0,5.0
372,-20.0,5.0
373,-24.0,5.0
374,-20.0,5.0
375,-19.0,5.0
376,-19.0,5.0
377,-25.0,5.0
378,-21.0,4.0
379,-22.0,3.0
380,-16.0,3.0
381,-20.0,2.0
382,-20.0,1.0
383,-20.0,1.0
384,-20.0,1.0
385,-20.0,2.0
386,-22.0,2.0
387,-22.0,3.0
388,-21.0,3.0
389,-24.0,3.0
390,-23.0,3.0
391,-21.0,3.0
392,-16.0,2.0
393,-26.0,2.0
394,-24.0,2.0
395,-24.0,1.0
396,-22.0,1.0
397,-20.0,0.0
398,-23.0,0.0
399,-20.0,0.0
400,-33.0,-1.0
401,-26.0,-2.0
402,-22.0,-3.0
403,-24.0,-3.0
404,-24.0,-4.0
405,-23.0,-4.0
406,-20.0,-4.0
407,-20.0,-4.0
408,-22.0,-4.0
409,-18.0,-4.0
410,-23.0,-4.0
411,-23.0,-5.0
412,-25.0,-5.0
413,-26.0,-6.0
414,-21.0,-6.0
415,-21.0,-6.0
416,-22.0,-6.0
417,-18.0,-5.0
418,-22.0,-4.0
