sample,raw,filtered
0,-19.0,-344.0
1,-23.0,63.0
2,520.0,998.0
3,1220.0,2029.0
4,1805.0,2576.0
5,2235.0,2273.0
6,2229.0,1125.0
7,1852.0,-587.0
8,-23.0,-8068.0
9,-20.0,-8432.0
10,-20.0,-7270.0
11,-25.0,-4121.0
12,-20.0,892.0
13,-19.0,6962.0
14,-24.0,12764.0
15,-25.0,16871.0
16,-25.0,18238.0
17,2226.0,16564.0
18,2230.0,12368.0
19,2233.0,6728.0
20,2230.0,866.0
21,2234.0,-4197.0
22,2229.0,-9829.0
23,2228.0,-8768.0
24,2232.0,-7178.0
25,2234.0,-5808.0
26,2234.0,-5216.0
27,2236.0,-5598.0
28,2235.0,-6687.0
29,2240.0,-7786.0
30,2231.0,-8020.0
31,2231.0,-6719.0
32,2235.0,-3755.0
33,2230.0,367.0
34,2234.0,4769.0
35,2225.0,8571.0
36,2180.0,11123.0
37,1694.0,12111.0
38,1288.0,11587.0
39,1103.0,9916.0
40,1073.0,7579.0
41,1103.0,4996.0
42,1136.0,2468.0
43,1135.0,231.0
44,2235.0,252.0
45,2237.0,1862.0
46,2233.0,3247.0
47,2233.0,4048.0
48,2235.0,3925.0
49,2238.0,2662.0
50,2229.0,299.0
51,2228.0,-2812.0
52,2236.0,-6093.0
53,2226.0,-8872.0
54,2229.0,-10542.0
55,2220.0,-10711.0
56,1797.0,-9310.0
57,1329.0,-6634.0
58,1095.0,-3240.0
59,1038.0,230.0
60,1067.0,3227.0
61,1113.0,5358.0
62,1123.0,6415.0
63,1106.0,6409.0
64,1090.0,5580.0
65,1143.0,4335.0
66,-25.0,2321.0
67,-19.0,2106.0
68,-24.0,2458.0
69,-23.0,3127.0
70,-19.0,3701.0
71,-28.0,3730.0
72,148.0,2921.0
73,695.0,1308.0
74,1083.0,-704.0
75,1236.0,-2508.0
76,1235.0,-3556.0
77,1223.0,-3568.0
78,1126.0,-2616.0
79,1165.0,-1084.0
80,1213.0,456.0
81,1215.0,1422.0
82,1191.0,1392.0
83,1170.0,237.0
84,1156.0,-1850.0
85,919.0,-4446.0
86,1153.0,8852.0
87,1185.0,8465.0
88,1179.0,7324.0
89,1178.0,5165.0
90,1160.0,1985.0
91,1130.0,-1815.0
92,1326.0,-5515.0
93,2231.0,-8316.0
94,2235.0,-9633.0
95,2128.0,-9261.0
96,1245.0,-7408.0
97,1080.0,-4609.0
98,1264.0,-1528.0
99,1708.0,1260.0
100,2236.0,3933.0
101,2231.0,2210.0
102,2232.0,122.0
103,2168.0,-1675.0
104,1688.0,-2592.0
105,1289.0,-2338.0
106,1124.0,-1069.0
107,1096.0,639.0
108,1099.0,2022.0
109,1144.0,2474.0
110,1176.0,1829.0
111,1167.0,397.0
112,1177.0,-1198.0
113,1274.0,-1199.0
114,1270.0,849.0
115,2177.0,3249.0
116,2236.0,5348.0
117,2234.0,6623.0
118,2229.0,6789.0
119,2231.0,5796.0
120,2223.0,3814.0
121,2080.0,1223.0
122,1589.0,-1477.0
123,1258.0,-3828.0
124,1104.0,-5557.0
125,1066.0,-6611.0
126,1053.0,-7094.0
127,1090.0,-7161.0
128,1060.0,-6898.0
129,1021.0,-6268.0
130,1011.0,-5136.0
131,1079.0,-3365.0
132,1120.0,-955.0
133,1137.0,1887.0
134,764.0,4788.0
135,795.0,9538.0
136,1084.0,8784.0
137,1078.0,6869.0
138,1028.0,4149.0
139,1027.0,1093.0
140,1075.0,-1800.0
141,1082.0,-4025.0
142,1048.0,-5158.0
143,1046.0,-5043.0
144,1092.0,-3904.0
145,1089.0,-2256.0
146,1111.0,-707.0
147,1126.0,246.0
148,1113.0,353.0
149,1101.0,-325.0
150,1106.0,-1443.0
151,1661.0,-2499.0
152,2207.0,-3075.0
153,957.0,-2985.0
154,-25.0,-2286.0
155,86.0,-1201.0
156,1547.0,-26.0
157,2223.0,973.0
158,2231.0,1657.0
159,2229.0,1967.0
160,2229.0,1844.0
161,2232.0,1272.0
162,2233.0,441.0
163,2235.0,-235.0
164,2230.0,-366.0
165,2232.0,143.0
166,2231.0,1007.0
167,2229.0,1676.0
168,2232.0,-1809.0
169,2234.0,-4267.0
170,2235.0,-6082.0
171,2230.0,-6552.0
172,2232.0,-5514.0
173,2232.0,-3287.0
174,2235.0,-469.0
175,2229.0,2248.0
176,2233.0,4264.0
177,1879.0,5286.0
178,1407.0,5407.0
179,1153.0,4924.0
180,1074.0,4079.0
181,1077.0,2969.0
182,1110.0,1675.0
183,1133.0,378.0
184,1140.0,-683.0
185,936.0,-1327.0
186,-20.0,-1475.0
187,-21.0,-1123.0
188,-19.0,-305.0
189,-20.0,881.0
190,808.0,4330.0
191,1095.0,4374.0
192,1181.0,3597.0
193,1172.0,2257.0
194,1152.0,816.0
195,1124.0,-258.0
196,1120.0,-687.0
197,1122.0,-497.0
198,1136.0,-36.0
199,1126.0,151.0
200,1128.0,-423.0
201,1122.0,-1926.0
202,1136.0,-4093.0
203,1148.0,-6343.0
204,1066.0,-8018.0
205,761.0,-8599.0
206,743.0,-7848.0
207,1396.0,-5887.0
208,2223.0,-3144.0
209,2223.0,-182.0
210,2228.0,2480.0
211,2234.0,4473.0
212,2232.0,5599.0
213,2229.0,5865.0
214,2232.0,5475.0
215,2238.0,4693.0
216,2229.0,3667.0
217,2229.0,2389.0
218,2236.0,795.0
219,2231.0,-1098.0
220,2231.0,-3120.0
221,2233.0,-4940.0
222,2231.0,-6137.0
223,2231.0,-3401.0
224,2235.0,-869.0
225,2235.0,1686.0
226,2233.0,3791.0
227,2233.0,5131.0
228,2233.0,5598.0
229,2231.0,5300.0
230,2232.0,4476.0
231,2227.0,3376.0
232,2231.0,2174.0
233,2223.0,999.0
234,2230.0,-21.0
235,2233.0,-759.0
236,2240.0,-1138.0
237,2230.0,-1187.0
238,2238.0,-1011.0
239,2235.0,-740.0
240,2234.0,-477.0
241,2233.0,-275.0
242,2239.0,-149.0
243,2229.0,-90.0
244,2225.0,-76.0
245,2230.0,-112.0
246,2234.0,-136.0
247,2231.0,-156.0
248,2235.0,-167.0
249,2236.0,-168.0
250,2231.0,-157.0
251,2231.0,-135.0
252,2231.0,-105.0
253,2240.0,-69.0
254,2229.0,-33.0
255,2236.0,-3.0
256,2231.0,16.0
257,2238.0,22.0
258,2235.0,15.0
259,2231.0,-2.0
260,2050.0,-24.0
261,1144.0,-43.0
262,-7.0,-54.0
263,-16.0,-54.0
264,-23.0,-45.0
265,-24.0,-30.0
266,-24.0,-24.0
267,-24.0,-61.0
268,-21.0,-167.0
269,-23.0,-275.0
270,-23.0,-156.0
271,-21.0,500.0
272,-21.0,1888.0
273,-25.0,3930.0
274,-24.0,6230.0
275,-24.0,8147.0
276,-23.0,8980.0
277,-25.0,8216.0
278,-23.0,5759.0
279,-27.0,2019.0
280,-19.0,-2225.0
281,21.0,-6117.0
282,516.0,-8988.0
283,944.0,-10474.0
284,1136.0,-10548.0
285,1177.0,-9472.0
286,1143.0,-7670.0
287,1117.0,-5550.0
288,1111.0,-3407.0
289,1106.0,-1444.0
290,1129.0,133.0
291,937.0,1090.0
292,433.0,1244.0
293,-16.0,578.0
294,-24.0,-711.0
295,-24.0,-2267.0
296,-25.0,-3646.0
297,-25.0,-4433.0
298,-21.0,-4350.0
299,-24.0,-3338.0
300,-23.0,-1546.0
301,-22.0,748.0
302,-16.0,7542.0
303,-22.0,8813.0
304,-23.0,9200.0
305,-15.0,8579.0
306,-29.0,6954.0
307,-26.0,4504.0
308,-19.0,1595.0
309,-24.0,-1279.0
310,-25.0,-3642.0
311,-28.0,-5170.0
312,-16.0,-5753.0
313,-22.0,-5500.0
314,-24.0,-4661.0
315,-20.0,-3531.0
316,-27.0,-2346.0
317,-19.0,-1252.0
318,-22.0,-338.0
319,-27.0,336.0
320,-20.0,731.0
321,-25.0,855.0
322,-22.0,773.0
323,-23.0,580.0
324,-16.0,84.0
325,-22.0,35.0
326,-25.0,32.0
327,-18.0,55.0
328,-22.0,88.0
329,-26.0,119.0
330,-24.0,143.0
331,-24.0,159.0
332,-26.0,167.0
333,-22.0,168.0
334,-20.0,165.0
335,-25.0,160.0
336,-25.0,156.0
337,-25.0,154.0
338,-22.0,157.0
339,-22.0,165.0
340,-22.0,177.0
341,-22.0,190.0
342,-22.0,200.0
343,-22.0,206.0
344,493.0,206.0
345,2137.0,200.0
346,2231.0,192.0
347,2229.0,175.0
348,2223.0,173.0
349,2227.0,198.0
350,2231.0,291.0
351,2233.0,444.0
352,2227.0,483.0
353,2229.0,90.0
354,2226.0,-1009.0
355,2232.0,-2857.0
356,1884.0,-5169.0
357,1079.0,-7362.0
358,-24.0,4948.0
359,-22.0,8123.0
360,-21.0,10017.0
361,-18.0,10719.0
362,-23.0,10699.0
363,-25.0,10525.0
364,-22.0,10536.0
365,-19.0,10667.0
366,-23.0,10515.0
367,-20.0,9589.0
368,-20.0,7583.0
369,-15.0,4526.0
370,-24.0,792.0
371,-25.0,-3031.0
372,-24.0,-6331.0
373,-26.0,-8640.0
374,-21.0,-9718.0
375,-26.0,-9581.0
376,-26.0,-8480.0
377,-16.0,-6788.0
378,-21.0,-4865.0
379,-26.0,-2974.0
380,-19.0,-1303.0
381,-25.0,-3.0
382,-28.0,813.0
383,-16.0,715.0
384,-23.0,329.0
385,-22.0,-2.0
386,-21.0,-226.0
387,-17.0,-340.0
388,-26.0,-368.0
389,-20.0,-343.0
390,-21.0,-293.0
391,-26.0,-239.0
392,-21.0,-194.0
393,-23.0,-162.0
394,-27.0,-144.0
395,-25.0,-138.0
396,-26.0,-138.0
397,-16.0,-140.0
398,-29.0,-139.0
399,-20.0,-134.0
400,-23.0,-124.0
401,-22.0,-110.0
402,-19.0,-96.0
403,-22.0,-82.0
404,-21.0,-70.0
405,-24.0,-60.0
406,-23.0,-55.0
407,-23.0,-53.0
408,-23.0,-54.0
409,-25.0,-58.0
410,-25.0,-64.0
411,-22.0,-69.0
412,-26.0,-72.0
413,-22.0,-70.0
414,-22.0,-64.0
415,-21.0,-55.0
416,-19.0,-43.0
417,-27.0,-29.0
418,-18.0,-15.0
419,-22.0,-4.0
420,-16.0,3.0
421,-25.0,8.0
422,-25.0,9.0
423,-22.0,6.0
424,-27.0,0.0
425,-16.0,-7.0
426,-20.0,-13.0
427,-22.0,-18.0
428,698.0,-19.0
429,2169.0,-18.0
430,2223.0,-14.0
431,2229.0,-6.0
432,2231.0,3.0
433,2232.0,19.0
434,2232.0,63.0
435,2234.0,173.0
436,2235.0,320.0
437,2229.0,312.0
438,2226.0,-162.0
439,2231.0,-1342.0
440,2237.0,-3211.0
441,2232.0,-5436.0
442,2231.0,-7412.0
443,2228.0,-8426.0
444,2227.0,-7897.0
445,2233.0,-5630.0
446,2233.0,-1950.0
447,2232.0,2386.0
448,1905.0,6492.0
449,1161.0,9637.0
450,704.0,11396.0
451,351.0,11677.0
452,96.0,8901.0
453,586.0,6692.0
454,934.0,4391.0
455,815.0,2221.0
456,446.0,440.0
457,450.0,-627.0
458,1014.0,-710.0
459,1486.0,264.0
460,1496.0,2080.0
461,1193.0,4218.0
462,1081.0,5947.0
463,1705.0,5559.0
464,1933.0,3042.0
465,2123.0,-530.0
466,2229.0,-4444.0
467,2229.0,-7971.0
468,2223.0,-10521.0
469,2227.0,-11751.0
470,2231.0,-11628.0
471,2232.0,-10387.0
472,2229.0,-8382.0
473,2237.0,-5979.0
474,2232.0,-3547.0
475,2235.0,-1446.0
476,2234.0,55.0
477,2236.0,894.0
478,2237.0,1212.0
479,2235.0,1269.0
480,2233.0,1331.0
481,2230.0,1606.0
482,2231.0,2172.0
483,2231.0,2920.0
484,2229.0,3594.0
485,2229.0,3450.0
486,2227.0,2830.0
487,2231.0,2126.0
488,2225.0,1402.0
489,2227.0,703.0
490,2229.0,90.0
491,1911.0,-371.0
492,1426.0,-647.0
493,1148.0,-742.0
494,1072.0,-704.0
495,1085.0,-597.0
496,1120.0,-481.0
497,1133.0,-401.0
498,1035.0,-387.0
499,789.0,-428.0
500,744.0,-444.0
501,946.0,-295.0
502,861.0,152.0
503,496.0,937.0
504,253.0,1948.0
505,577.0,2923.0
506,1039.0,3530.0
507,777.0,1281.0
508,1261.0,-513.0
509,1746.0,-2286.0
510,1784.0,-3657.0
511,1392.0,-4391.0
512,1133.0,-4493.0
513,1252.0,-4179.0
514,1530.0,-3729.0
515,1507.0,-3348.0
516,1171.0,-3152.0
517,957.0,-3202.0
518,1179.0,-3496.0
519,1543.0,-3926.0
520,1614.0,-4287.0
521,1233.0,-4366.0
522,939.0,-4015.0
523,1078.0,-3158.0
524,1419.0,-1795.0
525,1469.0,-55.0
526,1139.0,1768.0
527,865.0,3303.0
528,1414.0,4098.0
529,1090.0,3210.0
530,794.0,2071.0
531,858.0,949.0
532,1089.0,79.0
533,1028.0,-424.0
534,639.0,-594.0
535,324.0,-554.0
536,354.0,-414.0
537,341.0,-232.0
538,-20.0,-40.0
539,-16.0,111.0
540,-23.0,180.0
541,-18.0,191.0
542,-22.0,236.0
543,-15.0,387.0
544,-29.0,636.0
545,-19.0,929.0
546,-24.0,1259.0
547,-20.0,1651.0
548,-22.0,2054.0
549,-24.0,2307.0
550,-21.0,2236.0
551,-20.0,1778.0
552,-25.0,991.0
553,-23.0,-26.0
554,-25.0,-1173.0
