sample,ECG,Filtered
0,3337.0,-3.0
1,3321.0,-6.0
2,3335.0,-2.0
3,3336.0,6.0
4,3329.0,7.0
5,3338.0,-7.0
6,3326.0,6.0
7,3339.0,0.0
8,3331.0,-2.0
9,3331.0,0.0
10,3333.0,0.0
11,3335.0,-3.0
12,3333.0,-2.0
13,3336.0,1.0
14,3332.0,8.0
15,3329.0,9.0
16,3321.0,7.0
17,3335.0,4.0
18,3337.0,-1.0
19,3330.0,-1.0
20,3327.0,1.0
21,3322.0,2.0
22,3336.0,-1.0
23,3313.0,-4.0
24,3335.0,0.0
25,3329.0,-2.0
26,3315.0,-3.0
27,3329.0,-3.0
28,3332.0,-2.0
29,3332.0,0.0
30,3333.0,1.0
31,3331.0,1.0
32,3337.0,-6.0
33,3335.0,-5.0
34,3323.0,4.0
35,3333.0,5.0
36,3336.0,3.0
37,3321.0,-8.0
38,3295.0,5.0
39,3329.0,7.0
40,3307.0,7.0
41,3297.0,6.0
42,3322.0,3.0
43,3325.0,-5.0
44,3330.0,-4.0
45,3323.0,-5.0
46,3339.0,-5.0
47,3328.0,-6.0
48,3324.0,-1.0
49,3331.0,3.0
50,3332.0,-6.0
51,3327.0,-5.0
52,3327.0,-4.0
53,3313.0,-3.0
54,3332.0,-2.0
55,3334.0,0.0
56,3329.0,6.0
57,3321.0,2.0
58,3322.0,-4.0
59,3335.0,-1.0
60,3334.0,0.0
61,3330.0,0.0
62,3336.0,1.0
63,3338.0,4.0
64,3330.0,-2.0
65,3314.0,-3.0
66,3337.0,-2.0
67,3333.0,-1.0
68,3333.0,3.0
69,3329.0,2.0
70,3325.0,-2.0
71,3338.0,1.0
72,3326.0,3.0
73,3332.0,0.0
74,3299.0,-5.0
75,3320.0,-5.0
76,3336.0,-1.0
77,3333.0,4.0
78,3328.0,0.0
79,3334.0,4.0
80,3295.0,5.0
81,3322.0,5.0
82,3337.0,1.0
83,3319.0,1.0
84,3329.0,1.0
85,3322.0,-1.0
86,3336.0,-2.0
87,3334.0,1.0
88,3333.0,2.0
89,3317.0,-1.0
90,3307.0,-1.0
91,3332.0,4.0
92,3333.0,0.0
93,3334.0,-1.0
94,3299.0,-3.0
95,3333.0,6.0
96,3326.0,4.0
97,3334.0,-4.0
98,3318.0,-2.0
99,3332.0,0.0
100,3332.0,3.0
101,3334.0,4.0
102,3333.0,5.0
103,3329.0,0.0
104,3333.0,0.0
105,3295.0,-2.0
106,3322.0,-3.0
107,3329.0,-6.0
108,3288.0,-7.0
109,3333.0,-6.0
110,3315.0,2.0
111,3332.0,2.0
112,3330.0,-2.0
113,3330.0,1.0
114,3333.0,1.0
115,3328.0,0.0
116,3312.0,1.0
117,3332.0,1.0
118,3324.0,-1.0
119,3296.0,-2.0
120,3283.0,-4.0
121,3319.0,-1.0
122,3332.0,-3.0
123,3330.0,-4.0
124,3310.0,-4.0
125,3297.0,1.0
126,3332.0,2.0
127,3333.0,2.0
128,3326.0,1.0
129,3331.0,-1.0
130,3338.0,0.0
131,3335.0,-1.0
132,3316.0,-1.0
133,3334.0,3.0
134,3336.0,3.0
135,3315.0,4.0
136,3315.0,4.0
137,3296.0,0.0
138,3332.0,0.0
139,3334.0,3.0
140,3274.0,5.0
141,3332.0,6.0
142,3295.0,3.0
143,3335.0,-2.0
144,3322.0,0.0
145,3320.0,0.0
146,3332.0,0.0
147,3334.0,-5.0
148,3324.0,-4.0
149,3338.0,2.0
150,3318.0,-2.0
151,3337.0,-2.0
152,3330.0,-3.0
153,3332.0,0.0
154,3294.0,0.0
155,3330.0,1.0
156,3326.0,0.0
157,3334.0,-4.0
158,3335.0,-4.0
159,3330.0,3.0
160,3329.0,0.0
161,3322.0,0.0
162,3320.0,2.0
163,3310.0,1.0
164,3330.0,-1.0
165,3334.0,2.0
166,3332.0,1.0
167,3287.0,0.0
168,3322.0,0.0
169,3320.0,1.0
170,3324.0,-3.0
171,3328.0,0.0
172,3333.0,0.0
173,3337.0,2.0
174,3286.0,1.0
175,3328.0,1.0
176,3326.0,1.0
177,3320.0,4.0
178,3321.0,5.0
179,3333.0,4.0
180,3330.0,1.0
181,3334.0,-5.0
182,3334.0,0.0
183,3316.0,0.0
184,3331.0,-1.0
185,3291.0,0.0
186,3334.0,-1.0
187,3333.0,-2.0
188,3334.0,1.0
189,3335.0,1.0
